what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633136092
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633139646
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633151765
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1306633151774
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633152949
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633176930
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633177783
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633532207
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633533831
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633774945
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633776864
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633853602
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633856441
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1306633882080
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1306633882635
error,log,,,"loadAndParseRClass: failed to find manifest package for project masxaro",1306633883081
error,log,,,"loadAndParseRClass: failed to find manifest package for project tests",1306633883082
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1306633883259
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1306633883259
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1306633883408
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1306633883417
error,log,,,"Failed to load properties file for project 'tests'",1306633883439
error,log,,,"Failed to load properties file for project 'masxaro'",1306633883512
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633883819
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1306633883829
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633884312
error,log,,,"Failed to load properties file for project 'masxaro'",1306633884754
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1306633884822
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1306633884868
error,log,,,"Failed to load properties file for project 'masxaro'",1306633884936
error,log,,,"Failed to load properties file for project 'tests'",1306633884943
error,log,,,"Failed to load properties file for project 'tests'",1306633884946
error,log,,,"Failed to load properties file for project 'masxaro'",1306633886884
error,log,,,"Failed to load properties file for project 'tests'",1306633886885
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1306633887692
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306633887897
