what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1307238610574
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1307238610576
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1307238610578
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1307238610580
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1307238610582
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1307238610613
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1307238610614
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1307238610678
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1307238610679
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1307238610692
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1307238610706
started,bundle,eclipseme.core,1.7.9,"eclipseme.core",1307238610737
started,bundle,eclipseme.core.hooks,1.6.5,"eclipseme.core.hooks",1307238610738
started,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1307238610763
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1307238610763
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1307238610763
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1307238610763
os,sysinfo,,,"win32",1307238610767
arch,sysinfo,,,"x86",1307238610767
ws,sysinfo,,,"win32",1307238610767
locale,sysinfo,,,"en_US",1307238610767
processors,sysinfo,,,"4",1307238610767
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1307238610767
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1307238610767
java.specification.name,sysinfo,,,"Java Platform API Specification",1307238610767
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307238610767
java.specification.version,sysinfo,,,"1.6",1307238610767
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1307238610767
java.version,sysinfo,,,"1.6.0_23",1307238610767
java.vm.info,sysinfo,,,"mixed mode",1307238610767
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1307238610767
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1307238610767
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307238610767
java.vm.specification.version,sysinfo,,,"1.0",1307238610767
