what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1307083566985
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1307083568142
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1307083569999
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307083571556
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307083573213
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1307083588672
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307083606382
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307083609315
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307083684856
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307083688262
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307083690439
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1307083691416
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1307083692229
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1307083693314
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1307083693956
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1307083693983
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1307083694014
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1307083696285
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307083699322
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307083716403
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307083717715
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307083724446
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307083731749
