what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086404236
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086424570
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307086429339
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1307086431206
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1307086432276
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1307086434002
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086446700
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086449251
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.LogCatView",1307086449264
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086584276
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086587298
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307086588598
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1307086613842
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1307086615586
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086624796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086625523
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086627193
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086632852
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086638755
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086639974
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307086641242
