what,kind,bundleId,bundleVersion,description,time
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307089724833
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1307089726587
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1307089738724
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307089738969
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307089739029
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1307089742052
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307089742604
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1307089759622
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307089762091
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307089762091
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1307089762855
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307089762855
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1307089764220
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307089764454
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307089764520
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1307089767107
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1307089768148
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1307089798700
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1307089813870
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307089813870
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307089815479
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1307089815479
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307089816869
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307089818118
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307090905907
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307090908692
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307090958744
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1307090958751
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307090965369
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307091013059
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307091016349
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307091029093
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1307091029100
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1307091030552
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307091034078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307091427047
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307091428381
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307091543562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307091544159
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307098754379
