what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1306483840071
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1306483840071
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1306483840071
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1306483840071
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1306483840071
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1306483840071
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1306483840071
started,bundle,eclipseme.core,1.7.9,"eclipseme.core",1306483840071
started,bundle,eclipseme.core.hooks,1.6.5,"eclipseme.core.hooks",1306483840071
started,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1306483840071
os,sysinfo,,,"win32",1306483840074
arch,sysinfo,,,"x86",1306483840074
ws,sysinfo,,,"win32",1306483840074
locale,sysinfo,,,"en_US",1306483840074
processors,sysinfo,,,"4",1306483840075
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1306483840075
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1306483840075
java.specification.name,sysinfo,,,"Java Platform API Specification",1306483840075
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1306483840075
java.specification.version,sysinfo,,,"1.6",1306483840075
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1306483840075
java.version,sysinfo,,,"1.6.0_23",1306483840075
java.vm.info,sysinfo,,,"mixed mode",1306483840075
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1306483840075
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1306483840075
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1306483840075
java.vm.specification.version,sysinfo,,,"1.0",1306483840075
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1306483840075
java.vm.version,sysinfo,,,"19.0-b09",1306483840075
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306483865448
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306483881215
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306483883710
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1306483885416
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1306483885484
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1306483885485
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1306483885503
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1306483885605
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1306483885607
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1306483885608
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306483930269
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306483932151
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306483933439
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306483934408
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306483981139
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306483982779
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484042297
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484043655
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484046585
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484049654
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484058311
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1306484058321
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484069470
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484076495
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484079762
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484123418
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484125522
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484667157
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484669144
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484724570
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484726793
error,log,,,"Unable to read C:\\Program Files (x86)\\Android\\android-sdk\\AndroidManifest.xml: java.io.FileNotFoundException: C:\\Program Files (x86)\\Android\\android-sdk\\AndroidManifest.xml (The system cannot find the file specified)",1306484804323
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1306484804360
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1306484804372
error,log,,,"Unable to read C:\\Program Files (x86)\\Android\\android-sdk\\AndroidManifest.xml: java.io.FileNotFoundException: C:\\Program Files (x86)\\Android\\android-sdk\\AndroidManifest.xml (The system cannot find the file specified)",1306484804376
error,log,,,"Failed to load properties file for project 'hw'",1306484864878
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484865133
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1306484866444
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1306484867033
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1306484867044
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1306484872543
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306484872763
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306484873153
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1306484873402
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1306484873562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484878790
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484898779
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1306484902711
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484906981
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484906999
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484909013
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484930670
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484932015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484933765
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1306484935100
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1306484938591
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1306484938755
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1306484938881
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484941754
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484942963
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484951638
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484957554
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1306484957574
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484961013
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306484994249
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1306485001688
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306485004392
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306485013292
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306485017834
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1306485021567
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306485026038
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306485035667
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306485036469
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306485059500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306485064657
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306485067180
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306485067232
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1306485067236
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1306485067236
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306485076316
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306485718970
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306485721489
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306505460493
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306505461750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306505462776
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306505462929
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1306505463337
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1306505463337
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1306505463337
stopped,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1306505463344
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1306505463344
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1306505463345
stopped,bundle,net.rim.ejde.doc,1.1.2.201004161203-16,"net.rim.ejde.doc",1306505463345
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1306505463345
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1306505463345
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1306505463345
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1306505463345
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1306505463345
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1306505463346
stopped,bundle,eclipseme.toolkit.me4se,1.7.7,"eclipseme.toolkit.me4se",1306505463346
stopped,bundle,eclipseme.toolkit.microemu,1.7.8,"eclipseme.toolkit.microemu",1306505463346
stopped,bundle,eclipseme.toolkit.motorola,1.7.7,"eclipseme.toolkit.motorola",1306505463346
stopped,bundle,eclipseme.toolkit.mpowerplayer,1.7.7,"eclipseme.toolkit.mpowerplayer",1306505463346
stopped,bundle,eclipseme.toolkit.uei,1.7.8,"eclipseme.toolkit.uei",1306505463346
stopped,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1306505463346
stopped,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1306505463346
stopped,bundle,eclipseme.core.resources,1.7.8,"eclipseme.core.resources",1306505463346
stopped,bundle,eclipseme.core,1.7.9,"eclipseme.core",1306505463346
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1306505463346
stopped,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1306505463346
stopped,bundle,com.android.ide.eclipse.hierarchyviewer,10.0.1.v201103111512-110841,"com.android.ide.eclipse.hierarchyviewer",1306505463346
