what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1307015905982
started,bundle,net.rim.ejde,1.1.2.201004161203-16,"net.rim.ejde",1307015905982
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1307015905982
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1307015906004
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1307015906071
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1307015906073
started,bundle,org.eclipse.jdt.core,3.5.1.v_972_R35x,"org.eclipse.jdt.core",1307015906074
started,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1307015906132
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1307015906134
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1307015906135
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1307015906137
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1307015906163
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1307015906168
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1307015906202
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1307015906204
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1307015906278
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1307015906280
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1307015906351
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1307015906353
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1307015906356
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1307015906379
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1307015906423
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1307015906456
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1307015906483
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1307015906483
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1307015906485
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1307015906485
started,bundle,eclipseme.core,1.7.9,"eclipseme.core",1307015906507
started,bundle,eclipseme.core.hooks,1.6.5,"eclipseme.core.hooks",1307015906508
started,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1307015906558
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1307015906558
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1307015906558
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1307015906558
os,sysinfo,,,"win32",1307015906562
arch,sysinfo,,,"x86",1307015906562
ws,sysinfo,,,"win32",1307015906562
locale,sysinfo,,,"en_US",1307015906562
processors,sysinfo,,,"4",1307015906562
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1307015906562
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1307015906562
java.specification.name,sysinfo,,,"Java Platform API Specification",1307015906562
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307015906562
java.specification.version,sysinfo,,,"1.6",1307015906562
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1307015906562
java.version,sysinfo,,,"1.6.0_23",1307015906562
java.vm.info,sysinfo,,,"mixed mode",1307015906562
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1307015906562
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1307015906562
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307015906562
java.vm.specification.version,sysinfo,,,"1.0",1307015906562
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1307015906562
java.vm.version,sysinfo,,,"19.0-b09",1307015906562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1307015906571
